dataset,dataset_type,scenario,model,model_version,horizon,n,mae,rmse,crps_approx,coverage95,mean_interval_width,calibration_error,failed_predictions
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,baseline,1,24,1.5733,2.3402,1.2940,0.9583,11.4856,0.1639,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,baseline,2,23,2.7189,3.9983,2.1087,0.8696,11.7258,0.2150,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,baseline,3,22,3.5048,5.0504,2.7098,0.8182,11.3153,0.2323,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,baseline,4,21,3.9558,5.6036,3.0828,0.7619,10.8249,0.2566,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,baseline,5,20,4.1321,5.7870,3.2533,0.7000,10.3243,0.2778,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,baseline,6,19,4.0966,5.7317,3.2652,0.6842,9.8224,0.2661,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,hardened,1,24,0.6746,0.7903,0.8174,1.0000,12.4044,0.2176,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,hardened,2,23,1.2934,1.4998,1.0231,1.0000,12.6639,0.1560,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,hardened,3,22,1.8080,2.1232,1.2651,1.0000,12.2205,0.1889,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,hardened,4,21,2.2892,2.6644,1.5429,1.0000,11.6909,0.2249,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,hardened,5,20,2.6784,3.1375,1.8439,1.0000,11.1502,0.2833,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,hardened,6,19,3.0977,3.5390,2.1525,0.8947,10.6082,0.3246,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,hardened_no_area,1,24,0.6746,0.7903,0.8174,1.0000,12.4044,0.2176,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,hardened_no_area,2,23,1.2934,1.4998,1.0231,1.0000,12.6639,0.1560,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,hardened_no_area,3,22,1.8080,2.1232,1.2651,1.0000,12.2205,0.1889,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,hardened_no_area,4,21,2.2892,2.6644,1.5429,1.0000,11.6909,0.2249,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,hardened_no_area,5,20,2.6784,3.1375,1.8439,1.0000,11.1502,0.2833,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,hardened_no_area,6,19,3.0977,3.5390,2.1525,0.8947,10.6082,0.3246,0
synthetic_clean,synthetic,prior_7_8_with_killer,logistic_scurve,baseline,1,24,3.0285,3.5033,2.1671,0.7917,10.5294,0.2639,0
synthetic_clean,synthetic,prior_7_8_with_killer,logistic_scurve,baseline,2,23,3.7442,4.3169,2.7977,0.6957,11.6696,0.2826,0
