dataset,dataset_type,scenario,model,horizon,mae_baseline,mae_hardened,mae_delta_hardened_minus_baseline,rmse_baseline,rmse_hardened,rmse_delta_hardened_minus_baseline,crps_approx_baseline,crps_approx_hardened,crps_approx_delta_hardened_minus_baseline,coverage95_baseline,coverage95_hardened,coverage95_delta_hardened_minus_baseline,mean_interval_width_baseline,mean_interval_width_hardened,mean_interval_width_delta_hardened_minus_baseline,calibration_error_baseline,calibration_error_hardened,calibration_error_delta_hardened_minus_baseline
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,1,1.9034,0.5641,-1.3393,2.8036,0.6568,-2.1468,1.5211,0.7940,-0.7271,0.9167,1.0000,+0.0833,11.4856,12.4131,+0.9275,0.1944,0.1991,+0.0047
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,2,3.2921,1.0713,-2.2208,4.7854,1.2187,-3.5667,2.5837,0.9350,-1.6487,0.8261,1.0000,+0.1739,11.7258,12.6742,+0.9484,0.2536,0.1377,-0.1159
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,3,4.2156,1.4346,-2.7810,6.0468,1.6782,-4.3686,3.3608,1.0733,-2.2875,0.7727,1.0000,+0.2273,11.3153,12.2312,+0.9159,0.2879,0.0909,-0.1970
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,4,4.7569,1.7277,-3.0292,6.7167,2.0381,-4.6786,3.8374,1.2119,-2.6255,0.6667,1.0000,+0.3333,10.8249,11.7016,+0.8767,0.2989,0.0672,-0.2317
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,5,4.9746,1.9352,-3.0394,6.9490,2.2938,-4.6552,4.0584,1.3275,-2.7309,0.6500,1.0000,+0.3500,10.3243,11.1610,+0.8367,0.3056,0.0833,-0.2223
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,6,4.9594,2.0513,-2.9081,6.9016,2.4276,-4.4740,4.0911,1.3933,-2.6978,0.6316,1.0000,+0.3684,9.8224,10.6189,+0.7965,0.3246,0.1199,-0.2047
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,all,3.9361,1.4240,-2.5121,5.7989,1.7848,-4.0141,3.1733,1.1058,-2.0675,0.7519,1.0000,+0.2481,10.9668,11.8544,+0.8876,0.2743,0.0857,-0.1886
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,1,1.5733,0.5382,-1.0351,2.3402,0.6481,-1.6921,1.2940,0.7920,-0.5020,0.9583,1.0000,+0.0417,11.4856,12.4044,+0.9188,0.1639,0.1991,+0.0352
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,2,2.7189,1.0228,-1.6961,3.9983,1.2130,-2.7853,2.1087,0.9322,-1.1765,0.8696,1.0000,+0.1304,11.7258,12.6639,+0.9381,0.2150,0.1425,-0.0725
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,3,3.5048,1.3820,-2.1228,5.0504,1.6891,-3.3613,2.7098,1.0752,-1.6346,0.8182,1.0000,+0.1818,11.3153,12.2205,+0.9052,0.2323,0.0970,-0.1353
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,4,3.9558,1.7148,-2.2410,5.6036,2.0818,-3.5218,3.0828,1.2292,-1.8536,0.7619,1.0000,+0.2381,10.8249,11.6909,+0.8660,0.2566,0.0989,-0.1577
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,5,4.1321,1.9190,-2.2131,5.7870,2.3801,-3.4069,3.2533,1.3712,-1.8821,0.7000,1.0000,+0.3000,10.3243,11.1502,+0.8259,0.2778,0.1278,-0.1500
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,6,4.0966,2.1284,-1.9682,5.7317,2.5688,-3.1629,3.2652,1.4774,-1.7878,0.6842,1.0000,+0.3158,9.8224,10.6082,+0.7858,0.2661,0.1725,-0.0936
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,all,3.2632,1.4083,-1.8549,4.8334,1.8392,-2.9942,2.5660,1.1272,-1.4388,0.8062,1.0000,+0.1938,10.9668,11.8442,+0.8774,0.2321,0.0947,-0.1374
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,1,2.4325,2.3272,-0.1053,3.5166,3.1660,-0.3506,1.8629,1.7493,-0.1136,0.9167,0.9167,+0.0000,10.2508,13.0363,+2.7855,0.0741,0.0454,-0.0287
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,2,2.6261,2.3151,-0.3110,4.0376,3.0780,-0.9596,2.1373,1.7799,-0.3574,0.7826,0.9130,+0.1304,10.2471,13.5625,+3.3154,0.1377,0.0700,-0.0677
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,3,3.1862,2.4741,-0.7121,4.6572,3.0716,-1.5856,2.6007,1.8094,-0.7913,0.7727,0.8636,+0.0909,9.8539,12.9831,+3.1292,0.1717,0.0515,-0.1202
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,4,3.5118,2.7352,-0.7766,5.2399,3.3439,-1.8960,2.9711,1.9173,-1.0538,0.7143,0.9048,+0.1905,9.4148,12.2302,+2.8154,0.1825,0.0524,-0.1301
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,5,3.7706,2.9327,-0.8379,5.9598,3.7467,-2.2131,3.2517,2.0553,-1.1964,0.7000,0.9000,+0.2000,8.9751,11.7119,+2.7368,0.1889,0.0778,-0.1111
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,6,3.7839,2.9718,-0.8121,5.3910,3.2586,-2.1324,3.1744,1.9932,-1.1812,0.6842,0.8421,+0.1579,8.5411,11.2305,+2.6894,0.1784,0.1035,-0.0749
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,all,3.1777,2.6053,-0.5724,4.8128,3.2747,-1.5381,2.6266,1.8757,-0.7509,0.7674,0.8915,+0.1241,9.5968,12.5185,+2.9217,0.1529,0.0438,-0.1091
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,1,2.4583,2.3049,-0.1534,3.4978,3.1207,-0.3771,1.8480,1.7180,-0.1300,0.9167,0.9583,+0.0416,13.9552,15.2974,+1.3422,0.1009,0.0741,-0.0268
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,2,2.7066,2.1949,-0.5117,4.0660,2.9990,-1.0670,2.1314,1.6993,-0.4321,0.9130,0.9565,+0.0435,14.3421,15.7556,+1.4135,0.1715,0.0768,-0.0947
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,3,3.2622,2.1647,-1.0975,4.6595,2.8881,-1.7714,2.4969,1.6633,-0.8336,0.8636,1.0000,+0.1364,13.9489,15.3373,+1.3884,0.1919,0.0707,-0.1212
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,4,3.5869,2.3358,-1.2511,5.2548,3.0815,-2.1733,2.8579,1.7237,-1.1342,0.7619,0.9524,+0.1905,13.4606,14.8088,+1.3482,0.2196,0.0778,-0.1418
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,5,3.8888,2.4759,-1.4129,6.0173,3.4571,-2.5602,3.1746,1.8269,-1.3477,0.8000,0.9500,+0.1500,12.9602,14.2658,+1.3056,0.2500,0.0667,-0.1833
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,6,3.8368,2.2992,-1.5376,5.4023,2.8517,-2.5506,3.0133,1.6394,-1.3739,0.7895,1.0000,+0.2105,12.4583,13.7204,+1.2621,0.2485,0.0673,-0.1812
