dataset,dataset_type,scenario,model,model_version,horizon,n,mae,rmse,crps_approx,coverage95,mean_interval_width,calibration_error,failed_predictions
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,baseline,6,19,4.8340,6.3000,4.0729,0.5789,8.2925,0.1667,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,hardened,1,24,4.6489,6.8741,3.6165,0.7917,15.3217,0.0324,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,hardened,2,23,4.5070,6.9180,3.6432,0.7826,16.0005,0.0401,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,hardened,3,22,5.2283,7.2638,4.0444,0.7273,15.4710,0.0495,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,hardened,4,21,5.3644,8.1273,4.2756,0.7619,14.6312,0.0556,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,hardened,5,20,5.4417,7.8447,4.2791,0.7500,13.7438,0.0667,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,hardened,6,19,4.7921,6.6462,3.6727,0.7368,13.1001,0.0906,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,baseline,1,24,4.4050,6.3195,3.4187,0.7500,13.9552,0.0889,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,baseline,2,23,4.3395,6.2826,3.3925,0.8261,14.3421,0.1570,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,baseline,3,22,4.8777,6.8566,3.7614,0.7727,13.9489,0.1515,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,baseline,4,21,5.1897,7.4154,4.1278,0.6190,13.4606,0.1984,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,baseline,5,20,5.0963,8.1193,4.1910,0.7500,12.9602,0.2333,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,baseline,6,19,4.8443,6.3016,3.7804,0.6842,12.4583,0.2485,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,hardened,1,24,4.2801,6.2149,3.2981,0.8333,18.3504,0.0407,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,hardened,2,23,3.8360,5.6407,3.0557,0.9130,19.2922,0.0662,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,hardened,3,22,4.2095,5.5705,3.1116,0.9091,18.9409,0.0424,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,hardened,4,21,3.9771,5.6681,3.1124,0.8571,18.2954,0.0714,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,hardened,5,20,3.9033,5.9566,3.0086,0.9000,17.6151,0.0722,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,hardened,6,19,3.2966,4.1130,2.3654,0.9474,16.8772,0.0918,0
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,baseline,1,24,4.5454,6.4601,3.5896,0.7500,11.4856,0.1259,0
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,baseline,2,23,4.7549,6.7442,3.7719,0.6522,11.7258,0.1957,0
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,baseline,3,22,5.3422,7.5620,4.3314,0.6818,11.3153,0.2222,0
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,baseline,4,21,5.8043,8.2866,4.8231,0.5714,10.8249,0.2566,0
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,baseline,5,20,5.9605,9.0876,5.0270,0.6500,10.3243,0.2944,0
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,baseline,6,19,5.6291,7.3604,4.6564,0.5789,9.8224,0.3246,0
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,hardened,1,24,4.2836,6.2459,3.3050,0.7500,15.2450,0.0444,0
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,hardened,2,23,3.9222,5.7827,3.0984,0.8261,16.0593,0.0894,0
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,hardened,3,22,4.3276,5.8324,3.2515,0.8182,15.6672,0.0808,0
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,hardened,4,21,4.3295,6.0497,3.3407,0.8095,15.0433,0.1243,0
